lp,Temp,CaO,MgO,SiO2,Fe_total,MnO,Al2O3,TiO2,V2O5
4.057976918,1650,46.7,7.26,12.7,18.5,4.03,2.04,1,1.961
4.073291153,1645,50.4,8.89,12.9,14.9,4.29,2.08,1.11,2.402
4.96517292,1648,45.1,9.99,12.1,16.2,4.25,2.79,1.02,2.237
3.912023005,1693,43.3,9.45,12.3,18.7,4.11,1.62,0.72,2.08
3.63758616,1696,48.4,11.21,14.6,12.1,3.5,2.29,0.89,2.184
4.41046457,1656,43.4,8.07,13.6,17.9,4.68,1.84,1.07,2.57
4.248495242,1654,41.5,11.51,13.1,16.5,4.8,2.21,1.01,2.388
4.322603214,1661,43.3,10.68,12.1,16.6,4.24,2.35,0.9,2.292
4.266194819,1647,42.9,8.72,13.5,17.9,4.76,1.59,1,2.62
3.949410537,1654,48.8,10.53,15.7,11.3,4.14,1.62,1.17,2.65
3.951243719,1615,38.3,8.33,14.9,21.3,4.91,1.24,1.16,2.536
4.202825205,1635,41.4,9.11,16.8,16,5.28,1.4,1.28,2.55
4.536177315,1651,46.5,10.81,12.3,14.7,4.48,1.14,0.93,2.606
4.258647614,1656,41.6,12.21,13.2,16.3,4.83,2.17,0.99,2.343
4.345658991,1658,48.2,10.33,16.2,11,4.08,1.58,1.15,2.597
4.452407431,1648,41.9,9.06,13.7,18.2,4.75,1.25,1.09,2.401
3.900849705,1678,41.6,10.46,11.2,19.4,4.86,1.86,0.85,2.047
4.030974948,1636,49.7,9.71,13.6,12.2,4.36,2.01,1.03,2.674
4.490507278,1649,39.8,7.78,12.7,20.8,4.82,2.03,1.01,2.431
4.40107483,1649,47.1,8.79,13.6,15.4,4.44,1.86,1.08,2.497
4.183956721,1673,49.3,9.67,13.8,12.4,4.16,2.01,1.05,2.549
4.206822546,1699,49.9,9.76,14.1,11.7,3.82,2.03,1.14,2.444
4.029806041,1673,49,8.19,10.9,16.2,3.79,1.83,0.9,2.343
4.288500577,1646,48.1,10.3,13.4,12.7,4.28,1.76,1.13,2.64
4.49980967,1643,43.6,9.03,14.8,16.2,3.93,3.19,0.88,2.204
4.206822546,1625,44.4,9.12,11.9,18,4.16,1.89,0.9,2.3
3.879934691,1644,43.9,10.37,11.6,17.9,4.14,1.85,0.87,2.256
4.209655409,1697,44,8.56,9.7,19.2,4.3,2.17,0.73,2.485
4.640888269,1642,45,9.82,12.1,15.9,4.28,2.07,0.98,2.662
4.489657299,1624,43.4,10.63,12.1,16.7,4.31,2.39,0.91,2.308
4.430816799,1639,37.2,10.44,12.3,21.8,4.72,1.9,1.03,2.333
